"","lin_resid","lin_pred","X","PC_outcome","DistName","RUC.code","Pop..2020","Change_2010.20_pct","total_poverty_percent","child_poverty_percent","Percent_college_grads_county_19","unemployment_2019","unemployment_2020","pct_state_median_HH_income","Enrollment","FreeElig_mean","RedcEligQty_mean","PaidEligQty_mean","abuse_neglect_investigations","DISTRICT.CUMULATIVE.YEAR.END.ENROLLMENT","DISTRICT.DISCIPLINE.RECORD.COUNT","X05.OUT.OF.SCHOOL.SUSPENSION","X06.IN.SCHOOL.SUSPENSION","Charter","n_students","st_pct_black","st_pct_hisp","st_pct_white","st_pct_native","st_pct_asian","st_pct_pac","st_pct_mult","st_pct_ecodis","st_pct_englishlearners","st_pct_speced","st_pct_bilingual","st_pct_careertech","st_pct_gifted","tot_staff_fte","tot_teach_fte","staff_pct_centraladmin","staff_pct_schooladmin","staff_pct_profsupport","staff_pct_teach","staff_pct_educaides","staff_pct_aux","avg_salary_central","avg_salary_school","avg_salary_prof","avg_salary_teach","staff_pct_minority","stud_teach_ratio","teach_pct_5underexp","teach_avgexp","teach_pct_advdegrees","teach_turnover_rate","teach_pct_black","teach_pct_hisp","teach_pct_white","teach_pct_native","teach_pct_asian","teach_pct_pac","teach_pct_mult","teach_pct_reged","teach_pct_speced","teach_pct_compeduc","teach_pct_esl","taxable_value_per_student_17","local_tax_rate_18","tot_operating_reevenue","rev_pct_state","rev_pct_local","rev_pct_fed","tot_other_rev","fund_balance","net_assets_charter","tot_expend_1819","tot_opexpend_per_student","exp_pct_basiced","exp_pect_speced","exp_pct_state","exp_pct_esl","exp_pct_cartecheduc","exp_pct_gifted","exp_pct_athletics","exp_pct_hsallotment","exp_pct_kinder","exp_pct_na","ani_per_stu","st_pct_minority","teach_pct_minority","st_to_teach_minority"
"1",-0.501706510912957,-0.438686170787342,1,-0.940392681700145,"A+ ACADEMY",1,2613539,10.4,14,20.9,31.5,3.5,7.7,96.5,0,0,0,0,0.177269478198713,1447,0.13795568263045,0.0493209435310936,0.0771979985704074,1,1399,3.3,93.2,2.5,0,0.4,0,0.6,93.5,45.8,9.5,44.7,34.6,2.8,190,90.2,2.4,4.6,6.7,47.5,11.9,26.9,112726,81078,70245,58094,55.3,15.5,49.4,9.2,43,29.4,17.7,20.9,57,2.2,2.2,0,0,46.3,13.8,2.2,26,0,0,11386.2358827734,86.4,1.5,12.1,0,0,2059.83774124375,11197.0864903502,10259,34.7,9.5,11.8,4.4,3.8,0.2,1.8,1.5,0,32.4,0.177269478198713,97.5,43,54.5
"2",0.227273991082858,-0.0140134138159583,2,0.213260577266951,"ABBOTT ISD",6,35874,2.2,13.1,18.1,17.4,3.3,6.3,83.1,289.75,0.245659722222222,0.0694444444444444,0.690972222222222,0.00347222222222222,294,0.135416666666667,0,0.118055555555556,0,288,1.4,13.5,82.6,0,0,0,2.4,27.8,0.3,11.1,0.3,44.1,4.2,40.9,24.2,4.9,2.4,4.9,59.3,14,14.5,74750,76070,59816,52540,2.4,11.9,17,14.5,17,12.4,0,4.1,95.9,0,0,0,0,80.9,8.2,0,0.5,331787,1.401,12333.9583333333,53.4,40.9,5.7,0,4961.79861111111,0,12340.34375,10532,41.5,5.3,6.4,0,6.9,0.2,5.2,1,2.3,31.3,0.00347222222222222,17.3,4.1,13.2
"3",1.32688137317554,-0.365315668794731,3,0.961565704380861,"ABERNATHY ISD",4,32522,-10.3,17.9,23.9,17.1,4.4,6.8,76.8,272.416666666667,0.153151774785802,0.0214198286413709,0.158863729090168,0,860,0.0575275397796818,0,0.0379436964504284,0,817,1.6,53.5,43,0.2,0.1,0,1.6,49.6,1.6,7.3,1.5,29.5,12.6,118.7,67.4,2.5,3.4,6.4,56.8,13.9,17,98070,77980,61544,48156,28.5,12.1,12.4,15.6,8,11.8,0,13.4,86.6,0,0,0,0,77,2.4,7.8,0.2,739410,1.5,13631.2190942472,10.7,81.6,7.7,0,3276.61077111383,0,14069.0330477356,11449,42.5,4.9,7.7,0,5.3,0.2,5,1.2,0.8,32.5,0,57,13.4,43.6
"4",0.634657450592596,-0.168540816481751,4,0.466116634110827,"ABILENE ISD",3,143208,8.9,14,18.9,25.2,2.9,5.5,85,681.041666666667,0.0263787397707017,0.00284439059714795,0.0121624837951709,0.00182304326689353,17668,0.246718522119592,0.0575473991249392,0.145600388915897,0,16456,13.4,44.6,35.6,0.3,1.6,0.2,4.3,68,5.6,13.4,5.6,28.3,7.4,2480.9,1077.4,1.1,2.4,9.3,43.4,14.8,28.9,107968,76523,61241,53317,31.1,15.3,32.7,12.3,24.6,15.5,2.4,14.1,81.3,0.1,0.4,0.1,1.7,75.5,7.8,7.9,0.8,276419,1.202,9875.44846864366,48,35.5,16.5,0,2149.93206125425,0,11332.5107559553,9439,43.6,12.3,12.2,0.3,2.2,0.2,2.6,0.8,1.4,24.4,0.00182304326689353,64.4,18.8,45.6
"5",1.14883407094823,0.0795210380026974,5,1.2283551089511,"ACADEMY ISD",2,370647,19.5,13.8,18.4,25.2,3.8,7,85.6,438.28125,0.0951663277164439,0.0193383207437536,0.140161969785009,0.0267286461359675,1833,0.16211504938989,0.0174317257408483,0.123184195235328,0,1721,5.6,22.3,66.9,0.5,1,0.3,3.3,41.2,5.2,9.6,4.7,23.9,7.2,229.8,118.8,0.9,4.4,5.5,51.7,14.9,22.7,116250,77017,55792,48921,11.7,14.5,53.7,9.9,6.7,27.8,0,2.5,97.5,0,0,0,0,89,2.9,2.5,0.3,235802,1.327,10351.2213829169,57.5,35.3,7.2,0,2183.66008134805,0,10105.0005810575,8560,47.2,9.4,7.3,0.2,4.6,0.3,3.4,1.4,0.3,26,0.0267286461359675,33,2.5,30.5
"6",0.140319213242178,-0.0728433494025283,6,0.0674758638400035,"ADRIAN ISD",2,1758,-14.3,13.1,29.5,22,2.9,3.9,92.8,127.375,0.4453125,0.2265625,0.3232421875,0.203125,129,0,0,0,0,128,0,53.9,43,0,0,0,3.1,62.5,0.8,11.7,0.8,56.3,4.7,30,17.2,3.3,2.6,0.4,57.4,9.6,26.6,85000,62000,30021,48279,10,7.4,23.2,15,12.9,19.3,0,7.1,92.9,0,0,0,0,81.1,0,2.9,0,473916,1.335,23003.234375,65.7,29.3,5,0,15091.8515625,0,39841.265625,22012,37.3,2.8,4.3,0.1,5.2,0.1,3.9,0.6,0.9,44.9,0.203125,57,7.1,49.9
"7",1.879758567354,-0.649656821645643,7,1.23010174570836,"ADVANTAGE ACADEMY",1,2613539,10.4,14,20.9,31.5,3.5,7.7,96.5,275.125,0.142800859598854,0.0126253581661891,0.0416547277936963,0.177650429799427,1569,0.0465616045845272,0.0222063037249284,0.0214899713467049,1,1396,29.8,58,9.5,0.1,1.4,0,1.2,77.9,24.7,5.7,21.6,31.7,1.9,141.7,70.8,4.2,4.2,16.3,50,2.8,22.5,85833,74250,53812,47607,64.7,19.7,66.9,5.3,48,68.8,55.1,9.5,35.4,0,0,0,0,87.4,2.8,0.8,0,0,0,11401.3839541547,90.4,2.7,6.9,0,0,347.714183381089,11024.6010028653,8464,33.1,5.5,18,1,2.7,0,0.6,0,1.7,37.5,0.177650429799427,90.5,64.6,25.9
"8",-4.64011299491261,-0.516550862340706,8,-5.15666385725332,"AGUA DULCE ISD",2,353178,3.8,16.5,23.1,21.8,4.1,9,87.6,195,0.478246753246753,0,0.0282467532467532,0.103896103896104,410,0.0415584415584416,0,0.0363636363636364,0,385,1,74.5,24.2,0,0.3,0,0,74.5,1,8.8,1,30.1,1,66.2,35.1,1.5,1.5,4.5,53,13.2,26.2,71703,73855,58326,51335,67.4,11,22.2,14.9,11.1,18.2,0,55.5,44.5,0,0,0,0,84.1,5.8,0,0,382054,1.516,12584.4207792208,51.5,39.2,9.2,0,3120.33766233766,0,16204.0857142857,12941,37.1,6,12.8,0,5.1,0.8,6,0.7,0.3,31.3,0.103896103896104,75.8,55.5,20.3
"9",1.91068045919189,0.439915174116281,9,2.35059563330818,"ALAMO HEIGHTS ISD",1,2009324,17.2,15.2,22.4,28,3.1,7.5,92.1,731.527777777778,0.0313142611800329,0.00385849546923372,0.113602467629313,0.0620296929021761,4980,0.0467764897295099,0.00386414480374212,0.0339637990644702,0,4917,2.4,39.5,53.1,0.4,3.2,0.3,1.1,19.7,6.7,9.1,10,15.9,21.1,617.2,353,0.9,2,7.1,57.2,12.6,20.3,140872,89617,66119,58903,43.7,13.9,22.3,13.3,46.2,15.1,2,29.6,67,0,0.3,0.3,0.8,70,9.6,6.1,1.7,1385663,1.255,12468.9774252593,6.5,86.4,7.1,0,3542.60341671751,0,20445.2245271507,9984,47.2,14.8,6.8,0.4,1.5,2.3,2.5,0,0.9,23.8,0.0620296929021761,46.9,33,13.9
"10",0.21281187459786,0.182879772311451,10,0.395691646909337,"ALBA-GOLDEN ISD",6,44843,6.9,14.3,22.3,16.6,3.9,6.6,88.9,439.3125,0.261674259681093,0.0443479498861048,0.194333712984055,0,943,0.061503416856492,0.0330296127562642,0,0,878,0.6,9.3,87.4,0.1,0.5,0,2.2,53.9,1.8,13.1,1.6,32.1,4.2,141.7,79,1.4,2.8,4.2,55.8,12.6,23.1,99908,72410,63569,50282,4.2,11.1,37.3,12.1,22.2,17.7,1.3,0,98.7,0,0,0,0,77.2,4.4,5.3,0.8,281522,1.23,11702.861047836,56.4,37,6.6,0,6945.70728929385,0,10875.2630979499,10122,46.7,4.8,10,0.1,4.6,0.3,2.9,0.8,1.9,28,0,12.7,1.3,11.4
